game_id,shooting_result,num_shots,coi,mean_radius,std,threshold,skill_level
20250101-4bce2db1-6d76-44a0-ad6d-0d343ce87250,"[ShootingResult(nth=1, score=8.8, time=1.3, pointX=0.400134, pointY=0.538785, distance=2603, color='orange'), ShootingResult(nth=2, score=10.9, time=6.0, pointX=0.509125, pointY=0.492622, distance=2605, color='red'), ShootingResult(nth=3, score=9.3, time=5.2, pointX=0.458834, pointY=0.574296, distance=2606, color='red'), ShootingResult(nth=4, score=8.3, time=5.5, pointX=0.441957, pointY=0.379728, distance=2601, color='orange'), ShootingResult(nth=5, score=6.9, time=5.2, pointX=0.48669, pointY=0.29212, distance=2606, color='green'), ShootingResult(nth=6, score=10.4, time=6.4, pointX=0.468224, pointY=0.504055, distance=2603, color='red'), ShootingResult(nth=7, score=8.8, time=4.7, pointX=0.421921, pointY=0.427303, distance=2598, color='orange'), ShootingResult(nth=8, score=9.4, time=4.1, pointX=0.435356, pointY=0.544549, distance=2607, color='red'), ShootingResult(nth=9, score=9.3, time=3.2, pointX=0.45994, pointY=0.427553, distance=2604, color='red'), ShootingResult(nth=10, score=9.6, time=3.3, pointX=0.441449, pointY=0.467447, distance=2603, color='red')]",10,"[0.4503955, 0.48003450000000003]",0.07489383430473169,"[0.029870295863951544, 0.08123672395265578]",0.02888164960724754,입문
20250101-d173f752-8dc2-4538-8cde-3c37a70c84ec,"[ShootingResult(nth=1, score=10.2, time=1.4, pointX=0.520297, pointY=0.533632, distance=2606, color='red'), ShootingResult(nth=2, score=9.6, time=4.7, pointX=0.49789, pointY=0.430424, distance=2604, color='red'), ShootingResult(nth=3, score=9.0, time=4.9, pointX=0.401372, pointY=0.482684, distance=2604, color='red'), ShootingResult(nth=4, score=9.3, time=4.2, pointX=0.443845, pointY=0.561966, distance=2606, color='red'), ShootingResult(nth=5, score=7.6, time=3.7, pointX=0.452005, pointY=0.335077, distance=2604, color='orange'), ShootingResult(nth=6, score=9.0, time=3.2, pointX=0.485287, pointY=0.599775, distance=2602, color='red'), ShootingResult(nth=7, score=6.8, time=3.2, pointX=0.410982, pointY=0.310493, distance=2600, color='green'), ShootingResult(nth=8, score=9.6, time=4.1, pointX=0.523685, pointY=0.562911, distance=2605, color='red'), ShootingResult(nth=9, score=8.9, time=4.7, pointX=0.396333, pointY=0.482648, distance=2604, color='orange'), ShootingResult(nth=10, score=8.4, time=4.9, pointX=0.369269, pointY=0.50276, distance=2605, color='orange')]",10,"[0.447925, 0.492722]",0.09721371774322371,"[0.05218841901083036, 0.0914001376093056]",0.054932516794801815,입문
20250101-802d2384-ed6f-4459-9c75-6443609c679b,"[ShootingResult(nth=1, score=8.8, time=5.3, pointX=0.396044, pointY=0.533317, distance=2598, color='orange'), ShootingResult(nth=2, score=8.8, time=5.4, pointX=0.610057, pointY=0.504686, distance=2605, color='orange'), ShootingResult(nth=3, score=9.0, time=1.9, pointX=0.573876, pointY=0.434147, distance=2604, color='red'), ShootingResult(nth=4, score=9.3, time=4.3, pointX=0.558299, pointY=0.43867, distance=2603, color='red'), ShootingResult(nth=5, score=10.2, time=3.4, pointX=0.496942, pointY=0.539264, distance=2605, color='red'), ShootingResult(nth=6, score=9.6, time=7.7, pointX=0.567003, pointY=0.484439, distance=2601, color='red'), ShootingResult(nth=7, score=9.0, time=7.2, pointX=0.59465, pointY=0.479056, distance=2607, color='red'), ShootingResult(nth=8, score=8.8, time=2.4, pointX=0.437226, pointY=0.409493, distance=2604, color='orange'), ShootingResult(nth=9, score=10.9, time=2.8, pointX=0.503149, pointY=0.504495, distance=2601, color='red'), ShootingResult(nth=10, score=10.6, time=3.1, pointX=0.485203, pointY=0.522029, distance=2602, color='red')]",10,"[0.530724, 0.494467]",0.07249679361631944,"[0.06667405234489651, 0.04229336560312976]",0.03872315393900919,입문
20250101-72459d1a-9f76-4076-920d-390f0d2ffd85,"[ShootingResult(nth=1, score=10.0, time=9.3, pointX=0.503377, pointY=0.453225, distance=2604, color='red'), ShootingResult(nth=2, score=9.0, time=6.0, pointX=0.437774, pointY=0.578663, distance=2603, color='red'), ShootingResult(nth=3, score=10.7, time=20.9, pointX=0.509439, pointY=0.480312, distance=2603, color='red'), ShootingResult(nth=4, score=10.0, time=5.2, pointX=0.508949, pointY=0.453768, distance=2605, color='red'), ShootingResult(nth=5, score=9.6, time=3.7, pointX=0.550528, pointY=0.547113, distance=2606, color='red'), ShootingResult(nth=6, score=9.8, time=4.6, pointX=0.475229, pointY=0.552856, distance=2601, color='red'), ShootingResult(nth=7, score=9.6, time=3.7, pointX=0.541849, pointY=0.443943, distance=2602, color='red'), ShootingResult(nth=8, score=10.2, time=2.7, pointX=0.540296, pointY=0.493605, distance=2604, color='red'), ShootingResult(nth=9, score=9.9, time=2.2, pointX=0.46561, pointY=0.460799, distance=2604, color='red'), ShootingResult(nth=10, score=10.3, time=2.8, pointX=0.535393, pointY=0.515205, distance=2604, color='red')]",10,"[0.5091939999999999, 0.4869585]",0.05125995187242237,"[0.03544195903784101, 0.04563255247616553]",0.02232573074437156,입문
20250101-274ae195-a3d6-4505-b284-7354044e090c,"[ShootingResult(nth=1, score=9.4, time=0.0, pointX=0.513377, pointY=0.576122, distance=2608, color='red'), ShootingResult(nth=2, score=9.8, time=2.6, pointX=0.556767, pointY=0.489361, distance=2603, color='red'), ShootingResult(nth=3, score=10.5, time=2.1, pointX=0.509609, pointY=0.473916, distance=2604, color='red'), ShootingResult(nth=4, score=10.9, time=3.5, pointX=0.491393, pointY=0.498424, distance=2600, color='red'), ShootingResult(nth=5, score=10.9, time=1.8, pointX=0.51418, pointY=0.493095, distance=2605, color='red'), ShootingResult(nth=6, score=10.6, time=1.3, pointX=0.520462, pointY=0.48142, distance=2601, color='red'), ShootingResult(nth=7, score=8.7, time=7.7, pointX=0.411612, pointY=0.427677, distance=2603, color='orange'), ShootingResult(nth=8, score=10.1, time=4.7, pointX=0.519895, pointY=0.459916, distance=2601, color='red'), ShootingResult(nth=9, score=9.3, time=4.1, pointX=0.45403, pointY=0.567962, distance=2606, color='red'), ShootingResult(nth=10, score=9.9, time=2.1, pointX=0.548564, pointY=0.483837, distance=2605, color='red')]",10,"[0.5137784999999999, 0.486599]",0.04673867585784926,"[0.0408759769606795, 0.042974319738653226]",0.007976792870758719,입문
20250102-f086cbbc-cac7-4fcd-aade-6bce1d9e4783,"[ShootingResult(nth=1, score=9.4, time=7.4, pointX=0.545578, pointY=0.56562, distance=2645, color='red'), ShootingResult(nth=2, score=9.8, time=15.8, pointX=0.537182, pointY=0.457774, distance=2649, color='red'), ShootingResult(nth=3, score=9.3, time=7.8, pointX=0.457053, pointY=0.570268, distance=2647, color='red'), ShootingResult(nth=4, score=9.8, time=11.6, pointX=0.471033, pointY=0.547067, distance=2647, color='red'), ShootingResult(nth=5, score=9.9, time=8.9, pointX=0.460649, pointY=0.461756, distance=2647, color='red'), ShootingResult(nth=6, score=9.5, time=12.0, pointX=0.549797, pointY=0.555815, distance=2648, color='red'), ShootingResult(nth=7, score=8.8, time=10.6, pointX=0.442294, pointY=0.590038, distance=2649, color='orange'), ShootingResult(nth=8, score=9.9, time=10.9, pointX=0.484442, pointY=0.549023, distance=2647, color='red'), ShootingResult(nth=9, score=10.9, time=7.1, pointX=0.509449, pointY=0.505639, distance=2645, color='red'), ShootingResult(nth=10, score=9.6, time=6.4, pointX=0.565, pointY=0.491718, distance=2645, color='red')]",10,"[0.49694550000000004, 0.548045]",0.05831859078561593,"[0.042435156844413804, 0.044434724501902785]",0.030983515701945998,입문
20250102-8300ea5c-ed48-40e4-9e02-a9eb59c50b18,"[ShootingResult(nth=1, score=9.8, time=14.1, pointX=0.545111, pointY=0.467805, distance=2625, color='red'), ShootingResult(nth=2, score=10.9, time=7.6, pointX=0.495639, pointY=0.487185, distance=2628, color='red'), ShootingResult(nth=3, score=9.7, time=9.4, pointX=0.494563, pointY=0.439343, distance=2630, color='red'), ShootingResult(nth=4, score=10.2, time=9.0, pointX=0.499695, pointY=0.459224, distance=2631, color='red'), ShootingResult(nth=5, score=10.1, time=8.6, pointX=0.460271, pointY=0.4824, distance=2631, color='red'), ShootingResult(nth=6, score=10.2, time=10.7, pointX=0.51428, pointY=0.460832, distance=2629, color='red'), ShootingResult(nth=7, score=9.6, time=9.4, pointX=0.434432, pointY=0.517587, distance=2625, color='red'), ShootingResult(nth=8, score=9.5, time=10.0, pointX=0.481466, pointY=0.570268, distance=2628, color='red'), ShootingResult(nth=9, score=8.9, time=8.8, pointX=0.589249, pointY=0.552802, distance=2628, color='orange'), ShootingResult(nth=10, score=10.6, time=8.2, pointX=0.476255, pointY=0.490445, distance=2628, color='red')]",10,"[0.495101, 0.48479249999999996]",0.04836420265804871,"[0.04126705336088343, 0.03999107542052351]",0.016067668119476367,입문
20250102-87ee5577-6bdb-4144-a556-305e21c3e14f,"[ShootingResult(nth=1, score=10.0, time=1.0, pointX=0.505124, pointY=0.547817, distance=2630, color='red'), ShootingResult(nth=2, score=9.8, time=10.7, pointX=0.536916, pointY=0.545488, distance=2629, color='red'), ShootingResult(nth=3, score=9.5, time=9.8, pointX=0.54396, pointY=0.440829, distance=2631, color='red'), ShootingResult(nth=4, score=8.2, time=10.3, pointX=0.549059, pointY=0.370728, distance=2633, color='orange'), ShootingResult(nth=5, score=9.3, time=5.8, pointX=0.550901, pointY=0.568494, distance=2628, color='red'), ShootingResult(nth=6, score=9.7, time=7.1, pointX=0.509767, pointY=0.440101, distance=2628, color='red'), ShootingResult(nth=7, score=9.9, time=8.0, pointX=0.457598, pointY=0.467198, distance=2632, color='red'), ShootingResult(nth=8, score=8.3, time=7.1, pointX=0.504564, pointY=0.366898, distance=2629, color='orange'), ShootingResult(nth=9, score=9.2, time=7.3, pointX=0.56983, pointY=0.443565, distance=2630, color='red'), ShootingResult(nth=10, score=8.2, time=7.4, pointX=0.524784, pointY=0.639017, distance=2632, color='orange')]",10,"[0.53085, 0.4553815]",0.08243215788542282,"[0.03057462732086851, 0.0844184437161098]",0.03703276487513334,입문
20250102-2530910f-16b8-415f-b4ca-ce8fea3e47f5,"[ShootingResult(nth=1, score=8.4, time=7.1, pointX=0.582656, pointY=0.597974, distance=2647, color='orange'), ShootingResult(nth=2, score=8.9, time=5.7, pointX=0.427098, pointY=0.427834, distance=2647, color='orange'), ShootingResult(nth=3, score=10.2, time=13.7, pointX=0.459549, pointY=0.504948, distance=2644, color='red'), ShootingResult(nth=4, score=10.2, time=8.1, pointX=0.484427, pointY=0.460867, distance=2646, color='red'), ShootingResult(nth=5, score=9.4, time=5.3, pointX=0.523698, pointY=0.426629, distance=2645, color='red'), ShootingResult(nth=6, score=9.4, time=4.8, pointX=0.574404, pointY=0.469268, distance=2647, color='red'), ShootingResult(nth=7, score=9.6, time=7.7, pointX=0.536677, pointY=0.556727, distance=2644, color='red'), ShootingResult(nth=8, score=9.3, time=5.8, pointX=0.570807, pointY=0.459954, distance=2647, color='red'), ShootingResult(nth=9, score=9.5, time=7.5, pointX=0.57373, pointY=0.509009, distance=2645, color='red'), ShootingResult(nth=10, score=10.2, time=7.6, pointX=0.494046, pointY=0.459671, distance=2649, color='red')]",10,"[0.5301875, 0.4650675]",0.0694197784415446,"[0.05176522678169197, 0.05253929105050809]",0.03520588938714361,입문
20250102-9c4a38f9-db5b-4f22-8131-0f68d20cef17,"[ShootingResult(nth=1, score=9.3, time=0.4, pointX=0.509885, pointY=0.580216, distance=2631, color='red'), ShootingResult(nth=2, score=9.3, time=6.3, pointX=0.494675, pointY=0.415405, distance=2634, color='red'), ShootingResult(nth=3, score=6.8, time=5.2, pointX=0.509364, pointY=0.288245, distance=2630, color='green'), ShootingResult(nth=4, score=7.7, time=4.5, pointX=0.406807, pointY=0.363887, distance=2629, color='orange'), ShootingResult(nth=5, score=10.4, time=7.9, pointX=0.5298, pointY=0.48484, distance=2630, color='red'), ShootingResult(nth=6, score=9.7, time=8.1, pointX=0.54112, pointY=0.54962, distance=2632, color='red'), ShootingResult(nth=7, score=10.4, time=7.5, pointX=0.5298, pointY=0.48484, distance=2636, color='red'), ShootingResult(nth=8, score=10.0, time=7.3, pointX=0.544397, pointY=0.512981, distance=2631, color='red'), ShootingResult(nth=9, score=9.7, time=7.4, pointX=0.490941, pointY=0.561025, distance=2632, color='red'), ShootingResult(nth=10, score=9.1, time=6.5, pointX=0.500494, pointY=0.593341, distance=2634, color='red')]",10,"[0.5096245, 0.49891050000000003]",0.0852653486227886,"[0.03753783679449312, 0.09473246979890262]",0.027233744351199463,입문
